dateCBASS,CBASSrun,uniquePosition,site,fieldTag,Temp,rack.col,rack.position,F,Fm,Y
2023-06-20T00:00:00Z,1,Run1.O5,C1450,B11,30,Orange,5,0.1442,0.2889,0.501
2023-06-20T00:00:00Z,1,Run1.O6,C1450,B6,30,Orange,6,0.1505,0.2874,0.476
2023-06-20T00:00:00Z,1,Run1.O7,C1450,B12,30,Orange,7,0.1549,0.3045,0.491
2023-06-20T00:00:00Z,1,Run1.O8,C1443,B22,30,Orange,8,0.1471,0.2947,0.501
2023-06-20T00:00:00Z,1,Run1.B1,M1227,B1,30,Blue,1,0.131,0.2654,0.506
2023-06-20T00:00:00Z,1,Run1.B2,M1227,B2,30,Blue,2,0.1364,0.2634,0.482
2023-06-20T00:00:00Z,1,Run1.B3,C1443,B24,30,Blue,3,0.1188,0.2444,0.514
2023-06-20T00:00:00Z,1,Run1.B4,M1227,B5,30,Blue,4,0.1496,0.2908,0.486
2023-06-20T00:00:00Z,1,Run1.B5,C1441,B3,30,Blue,5,0.1588,0.2947,0.461
2023-06-20T00:00:00Z,1,Run1.B6,C1441,B7,30,Blue,6,0.1549,0.3094,0.499
2023-06-20T00:00:00Z,1,Run1.P1,C1450,B10,30,Pink,1,0.15,0.2845,0.473
2023-06-20T00:00:00Z,1,Run1.P2,C1443,B21,30,Pink,2,0.1212,0.2366,0.488
2023-06-20T00:00:00Z,1,Run1.P3,C1443,B25,30,Pink,3,0.1237,0.2532,0.512
2023-06-20T00:00:00Z,1,Run1.P4,C1443,B26,30,Pink,4,0.1486,0.2879,0.484
2023-06-20T00:00:00Z,1,Run1.P5,C1443,B23,30,Pink,5,0.1461,0.2898,0.496
2023-06-20T00:00:00Z,1,Run1.P6,C1441,B8,30,Pink,6,0.1618,0.3065,0.472
2023-06-20T00:00:00Z,1,Run1.P7,M1227,B4,30,Pink,7,0.1598,0.3143,0.491
2023-06-20T00:00:00Z,1,Run1.P8,C1441,B9,30,Pink,8,0.1476,0.2849,0.482
2023-06-20T00:00:00Z,1,Run1.P1,C1450,B10,38,Pink,1,0.0674,0.0714,0
2023-06-20T00:00:00Z,1,Run1.P2,C1443,B21,38,Pink,2,0.1398,0.1452,0.037
2023-06-20T00:00:00Z,1,Run1.P3,C1443,B25,38,Pink,3,0.1588,0.1647,0.036
2023-06-20T00:00:00Z,1,Run1.P4,C1443,B26,38,Pink,4,0.1183,0.1197,0
2023-06-20T00:00:00Z,1,Run1.P5,C1443,B23,38,Pink,5,0.1706,0.1735,0
2023-06-20T00:00:00Z,1,Run1.P6,C1441,B8,38,Pink,6,0.15,0.152,0
2023-06-20T00:00:00Z,1,Run1.P7,M1227,B4,38,Pink,7,0.0718,0.0748,0
2023-06-20T00:00:00Z,1,Run1.P8,C1441,B9,38,Pink,8,0.1398,0.1471,0.05
2023-06-20T00:00:00Z,1,Run1.O1,V2526,B29,37,Orange,1,0.1369,0.1486,0.079
2023-06-20T00:00:00Z,1,Run1.O2,V2526,B30,37,Orange,2,0.1188,0.1281,0.073
2023-06-20T00:00:00Z,1,Run1.O3,V2526,B27,37,Orange,3,0.1706,0.1804,0.054
2023-06-20T00:00:00Z,1,Run1.O4,V2526,B28,37,Orange,4,0.1344,0.1442,0.068
2023-06-20T00:00:00Z,1,Run1.O5,C1450,B11,37,Orange,5,0.1745,0.1857,0.061
2023-06-20T00:00:00Z,1,Run1.O6,C1450,B6,37,Orange,6,0.1427,0.1491,0.043
2023-06-20T00:00:00Z,1,Run1.O7,C1450,B12,37,Orange,7,0.173,0.1764,0
2023-06-20T00:00:00Z,1,Run1.O8,C1443,B22,37,Orange,8,0.1065,0.1109,0.04
2023-06-20T00:00:00Z,1,Run1.B1,M1227,B1,37,Blue,1,0.089,0.0934,0.047
2023-06-20T00:00:00Z,1,Run1.B2,M1227,B2,37,Blue,2,0.1007,0.1046,0
2023-06-20T00:00:00Z,1,Run1.B3,C1443,B24,37,Blue,3,0.0929,0.0992,0.064
2023-06-20T00:00:00Z,1,Run1.B4,M1227,B5,37,Blue,4,0.1237,0.1281,0.034
2023-06-20T00:00:00Z,1,Run1.B5,C1441,B3,37,Blue,5,0.1725,0.1794,0.038
2023-06-20T00:00:00Z,1,Run1.B6,C1441,B7,37,Blue,6,0.1222,0.1266,0.035
2023-06-20T00:00:00Z,1,Run1.P1,C1450,B10,37,Pink,1,0.1232,0.1232,0
2023-06-20T00:00:00Z,1,Run1.P2,C1443,B21,37,Pink,2,0.1344,0.1427,0.058
2023-06-20T00:00:00Z,1,Run1.P3,C1443,B25,37,Pink,3,0.2121,0.2224,0.046
2023-06-20T00:00:00Z,1,Run1.P4,C1443,B26,37,Pink,4,0.1549,0.1613,0.039
2023-06-20T00:00:00Z,1,Run1.P5,C1443,B23,37,Pink,5,0.1735,0.1843,0.058
2023-06-20T00:00:00Z,1,Run1.P6,C1441,B8,37,Pink,6,0.1212,0.1261,0.039
2023-06-20T00:00:00Z,1,Run1.P7,M1227,B4,37,Pink,7,0.1598,0.1632,0
2023-06-20T00:00:00Z,1,Run1.P8,C1441,B9,37,Pink,8,0.0523,0.0557,0
2023-06-20T00:00:00Z,1,Run1.O1,V2526,B29,36,Orange,1,0.1261,0.1339,0.058
