RT.site,site.plot,fieldTag,row,column,position,tag
SW,SW_North,B86,4,G,G4,Blue127
SW,SW_North,B134,4,H,H4,Blue128
SW,SW_North,B138,5,A,A5,Blue97
SW,SW_North,Y87,5,B,B5,Blue98
SW,SW_North,B81,5,C,C5,Blue99
SW,SW_North,B188,5,D,D5,Blue100
SW,SW_North,B150,5,E,E5,Blue101
SW,SW_North,B177,5,F,F5,Blue102
SW,SW_North,B171,5,G,G5,Blue103
SW,SW_North,B106,5,H,H5,Blue104
SW,SW_North,B88,6,A,A6,Blue144
SW,SW_North,B163,6,B,B6,Blue146
SW,SW_North,B82,6,C,C6,Blue147
SW,SW_North,B164,6,D,D6,Blue148
SW,SW_North,B140,6,E,E6,Blue149
SW,SW_North,B167,6,F,F6,Blue150
SW,SW_North,B183,6,G,G6,Blue151
SW,SW_North,Y80,6,H,H6,Blue152
SW,SW_North,B165,7,A,A7,Blue73
SW,SW_North,B200,7,B,B7,Blue74
SW,SW_North,B198,7,C,C7,Blue75
SW,SW_North,B63,7,D,D7,Blue76
SW,SW_North,B161,7,E,E7,Blue77
SW,SW_North,B17,7,F,F7,Blue78
SW,SW_North,B162,7,G,G7,Blue79
SW,SW_North,B189,7,H,H7,Blue80
SW,SW_North,B136,8,A,A8,Blue49
SW,SW_North,B190,8,B,B8,Blue50
SW,SW_North,B139,8,C,C8,Blue51
SW,SW_North,B43,8,D,D8,Blue52
SW,SW_North,B133,8,E,E8,Blue53
SW,SW_North,B68,8,F,F8,Blue54
SW,SW_North,B137,8,G,G8,Blue55
SW,SW_North,B61,8,H,H8,Blue56
Pul,Pul_Middle,B138,1,A,A1,Yellow97
Pul,Pul_Middle,Y87,1,B,B1,Yellow98
Pul,Pul_Middle,B81,1,C,C1,Yellow99
Pul,Pul_Middle,B188,1,D,D1,Yellow100
Pul,Pul_Middle,B150,1,E,E1,Yellow101
Pul,Pul_Middle,B177,1,F,F1,Yellow102
Pul,Pul_Middle,B171,1,G,G1,Yellow103
Pul,Pul_Middle,B106,1,H,H1,Yellow104
Pul,Pul_Middle,B83,2,A,A2,Yellow10
Pul,Pul_Middle,B199,2,B,B2,Yellow11
Pul,Pul_Middle,B176,2,C,C2,Yellow12
Pul,Pul_Middle,B131,2,D,D2,Yellow13
Pul,Pul_Middle,B166,2,E,E2,Yellow14
Pul,Pul_Middle,B169,2,F,F2,Yellow15
Pul,Pul_Middle,B120,2,G,G2,Yellow16
Pul,Pul_Middle,B136,3,A,A3,Yellow49
Pul,Pul_Middle,B190,3,B,B3,Yellow50
Pul,Pul_Middle,B139,3,C,C3,Yellow51
Pul,Pul_Middle,B43,3,D,D3,Yellow52
Pul,Pul_Middle,B133,3,E,E3,Yellow195
Pul,Pul_Middle,B68,3,F,F3,Yellow54
Pul,Pul_Middle,B137,3,G,G3,Yellow55
Pul,Pul_Middle,B61,3,H,H3,Yellow56
Pul,Pul_Middle,B173,4,A,A4,Yellow169
Pul,Pul_Middle,B20,4,B,B4,Yellow170
Pul,Pul_Middle,B85,4,C,C4,Yellow171
Pul,Pul_Middle,B197,4,D,D4,Yellow172
Pul,Pul_Middle,B88,5,A,A5,Yellow144
Pul,Pul_Middle,B163,5,B,B5,Yellow146
Pul,Pul_Middle,B82,5,C,C5,Yellow147
Pul,Pul_Middle,B164,5,D,D5,Yellow148
Pul,Pul_Middle,B140,5,E,E5,Yellow149
Pul,Pul_Middle,B167,5,F,F5,Yellow150
Pul,Pul_Middle,B183,5,G,G5,Yellow151
Pul,Pul_Middle,Y80,5,H,H5,Yellow152
Pul,Pul_Middle,B165,6,A,A6,Yellow73
Pul,Pul_Middle,B200,6,B,B6,Yellow74
Pul,Pul_Middle,B198,6,C,C6,Yellow75
Pul,Pul_Middle,B63,6,D,D6,Yellow76
Pul,Pul_Middle,B161,6,E,E6,Yellow77
Pul,Pul_Middle,B17,6,F,F6,Yellow78
Pul,Pul_Middle,B162,6,G,G6,Yellow79
Pul,Pul_Middle,B189,6,H,H6,Yellow80
Pul,Pul_Middle,B90,7,A,A7,Yellow121
Pul,Pul_Middle,B135,7,B,B7,Yellow122
Pul,Pul_Middle,B42,7,C,C7,Yellow123
Pul,Pul_Middle,B132,7,D,D7,Yellow124
Pul,Pul_Middle,B170,7,E,E7,Yellow125
Pul,Pul_Middle,B50,7,F,F7,Yellow126
Pul,Pul_Middle,B86,7,G,G7,Yellow127
Pul,Pul_Middle,B134,7,H,H7,Yellow128
Pul,Pul_Middle,B196,8,A,A8,Yellow41
Pul,Pul_Middle,B168,8,B,B8,Yellow42
Pul,Pul_Middle,B87,8,C,C8,Yellow43
Pul,Pul_Middle,B41,8,D,D8,Yellow44
Pul,Pul_Middle,B84,8,E,E8,Yellow45
Pul,Pul_Middle,B67,8,F,F8,Yellow46
Pul,Pul_Middle,B65,8,G,G8,Yellow47
Pul,Pul_Middle,B89,8,H,H8,Yellow48
Pul,Pul_South,B165,1,A,A1,Yellow89
Pul,Pul_South,B200,1,B,B1,Yellow90
Pul,Pul_South,B198,1,C,C1,Yellow91
Pul,Pul_South,B63,1,D,D1,Yellow92
Pul,Pul_South,B161,1,E,E1,Yellow93
Pul,Pul_South,B17,1,F,F1,Yellow94
Pul,Pul_South,B162,1,G,G1,Yellow95
Pul,Pul_South,B189,1,H,H1,Yellow96
Pul,Pul_South,B173,2,A,A2,Yellow177
Pul,Pul_South,B20,2,B,B2,Yellow178
Pul,Pul_South,B85,2,C,C2,Yellow179
Pul,Pul_South,B197,2,D,D2,Yellow180
Pul,Pul_South,B90,3,A,A3,Yellow137
Pul,Pul_South,B135,3,B,B3,Yellow138
Pul,Pul_South,B42,3,C,C3,Yellow139
Pul,Pul_South,B132,3,D,D3,Yellow140
Pul,Pul_South,B170,3,E,E3,Yellow141
Pul,Pul_South,B50,3,F,F3,Yellow142
Pul,Pul_South,B86,3,G,G3,Yellow143
Pul,Pul_South,B134,3,H,H3,Yellow145
Pul,Pul_South,B136,4,A,A4,Yellow65
Pul,Pul_South,B190,4,B,B4,Yellow66
Pul,Pul_South,B139,4,C,C4,Yellow67
Pul,Pul_South,B43,4,D,D4,Yellow68
Pul,Pul_South,B133,4,E,E4,Yellow69
Pul,Pul_South,B68,4,F,F4,Yellow70
Pul,Pul_South,B137,4,G,G4,Yellow71
Pul,Pul_South,B61,4,H,H4,Yellow72
Pul,Pul_South,B138,5,A,A5,Yellow113
Pul,Pul_South,Y87,5,B,B5,Yellow114
Pul,Pul_South,B81,5,C,C5,Yellow115
Pul,Pul_South,B188,5,D,D5,Yellow116
Pul,Pul_South,B150,5,E,E5,Yellow117
Pul,Pul_South,B177,5,F,F5,Yellow118
Pul,Pul_South,B171,5,G,G5,Yellow119
Pul,Pul_South,B106,5,H,H5,Yellow120
Pul,Pul_South,B88,6,A,A6,Yellow161
Pul,Pul_South,B163,6,B,B6,Yellow162
Pul,Pul_South,B82,6,C,C6,Yellow163
Pul,Pul_South,B164,6,D,D6,Yellow164
Pul,Pul_South,B140,6,E,E6,Yellow165
Pul,Pul_South,B167,6,F,F6,Yellow166
Pul,Pul_South,B183,6,G,G6,Yellow167
Pul,Pul_South,Y80,6,H,H6,Yellow168
Pul,Pul_South,B83,7,A,A7,Yellow17
Pul,Pul_South,B199,7,B,B7,Yellow18
Pul,Pul_South,B176,7,C,C7,Yellow19
Pul,Pul_South,B131,7,D,D7,Yellow20
Pul,Pul_South,B166,7,E,E7,Yellow21
Pul,Pul_South,B169,7,F,F7,Yellow22
Pul,Pul_South,B120,7,G,G7,Yellow23
Pul,Pul_South,B70,7,H,H7,Yellow24
Pul,Pul_South,B196,8,A,A8,Yellow25
Pul,Pul_South,B168,8,B,B8,Yellow26
Pul,Pul_South,B87,8,C,C8,Yellow27
Pul,Pul_South,B41,8,D,D8,Yellow28
Pul,Pul_South,B84,8,E,E8,Yellow29
Pul,Pul_South,B67,8,F,F8,Yellow30
Pul,Pul_South,B65,8,G,G8,Yellow31
Pul,Pul_South,B89,8,H,H8,Yellow32
Pul,Pul_North,B88,1,A,A1,Yellow153
Pul,Pul_North,B163,1,B,B1,Yellow154
Pul,Pul_North,B82,1,C,C1,Yellow155
Pul,Pul_North,B164,1,D,D1,Yellow156
Pul,Pul_North,B140,1,E,E1,Yellow157
Pul,Pul_North,B167,1,F,F1,Yellow158
Pul,Pul_North,B183,1,G,G1,Yellow159
Pul,Pul_North,Y80,1,H,H1,Yellow160
Pul,Pul_North,B136,2,A,A2,Yellow57
Pul,Pul_North,B190,2,B,B2,Yellow58
Pul,Pul_North,B139,2,C,C2,Yellow59
Pul,Pul_North,B43,2,D,D2,Yellow60
Pul,Pul_North,B133,2,E,E2,Yellow61
Pul,Pul_North,B68,2,F,F2,Yellow62
Pul,Pul_North,B137,2,G,G2,Yellow63
Pul,Pul_North,B61,2,H,H2,Yellow64
Pul,Pul_North,B138,3,A,A3,Yellow105
Pul,Pul_North,Y87,3,B,B3,Yellow106
Pul,Pul_North,B81,3,C,C3,Yellow107
Pul,Pul_North,B188,3,D,D3,Yellow108
Pul,Pul_North,B150,3,E,E3,Yellow109
Pul,Pul_North,B177,3,F,F3,Yellow110
Pul,Pul_North,B171,3,G,G3,Yellow111
Pul,Pul_North,B106,3,H,H3,Yellow112
Pul,Pul_North,B90,4,A,A4,Yellow129
Pul,Pul_North,B135,4,B,B4,Yellow130
Pul,Pul_North,B42,4,C,C4,Yellow131
Pul,Pul_North,B132,4,D,D4,Yellow132
Pul,Pul_North,B170,4,E,E4,Yellow133
Pul,Pul_North,B50,4,F,F4,Yellow134
Pul,Pul_North,B86,4,G,G4,Yellow135
Pul,Pul_North,B134,4,H,H4,Yellow136
Pul,Pul_North,B165,5,A,A5,Yellow81
Pul,Pul_North,B200,5,B,B5,Yellow82
Pul,Pul_North,B198,5,C,C5,Yellow83
Pul,Pul_North,B63,5,D,D5,Yellow84
Pul,Pul_North,B161,5,E,E5,Yellow85
Pul,Pul_North,B17,5,F,F5,Yellow86
Pul,Pul_North,B162,5,G,G5,Yellow87
Pul,Pul_North,B189,5,H,H5,MissingCoral
Pul,Pul_North,B83,6,A,A6,Yellow1
Pul,Pul_North,B199,6,B,B6,Yellow2
Pul,Pul_North,B176,6,C,C6,Yellow3
Pul,Pul_North,B131,6,D,D6,Yellow4
Pul,Pul_North,B166,6,E,E6,Yellow5
Pul,Pul_North,B169,6,F,F6,Yellow6
Pul,Pul_North,B120,6,G,G6,Yellow7
Pul,Pul_North,B70,6,H,H6,Yellow8
Pul,Pul_North,B196,7,A,A7,Yellow33
Pul,Pul_North,B168,7,B,B7,Yellow34
Pul,Pul_North,B87,7,C,C7,Yellow35
Pul,Pul_North,B41,7,D,D7,Yellow36
Pul,Pul_North,B84,7,E,E7,Yellow37
Pul,Pul_North,B67,7,F,F7,Yellow38
Pul,Pul_North,B65,7,G,G7,Yellow39
Pul,Pul_North,B89,7,H,H7,Yellow40
Pul,Pul_North,B173,8,A,A8,Yellow173
Pul,Pul_North,B20,8,B,B8,Yellow174
Pul,Pul_North,B85,8,C,C8,Yellow175
Pul,Pul_North,B197,8,D,D8,Yellow176
TX,TX_Middle,B136,1,A,A1,Black49
TX,TX_Middle,B190,1,B,B1,Black50
TX,TX_Middle,B139,1,C,C1,Black51
TX,TX_Middle,B43,1,D,D1,Black52
TX,TX_Middle,B133,1,E,E1,Black53
TX,TX_Middle,B68,1,F,F1,Black54
TX,TX_Middle,B137,1,G,G1,Black55
TX,TX_Middle,B61,1,H,H1,Black56
TX,TX_Middle,B165,2,A,A2,Black73
TX,TX_Middle,B200,2,B,B2,Black74
TX,TX_Middle,B198,2,C,C2,Black75
TX,TX_Middle,B63,2,D,D2,Black76
TX,TX_Middle,B161,2,E,E2,Black77
TX,TX_Middle,B17,2,F,F2,Black78
TX,TX_Middle,B162,2,G,G2,Black79
TX,TX_Middle,B189,2,H,H2,Black80
TX,TX_Middle,B88,3,A,A3,Black144
TX,TX_Middle,B163,3,B,B3,Black146
TX,TX_Middle,B82,3,C,C3,Black147
TX,TX_Middle,B164,3,D,D3,Black148
TX,TX_Middle,B140,3,E,E3,Black149
TX,TX_Middle,B167,3,F,F3,Black150
TX,TX_Middle,B183,3,G,G3,Black151
TX,TX_Middle,Y80,3,H,H3,Black152
TX,TX_Middle,B138,4,A,A4,Black97
TX,TX_Middle,Y87,4,B,B4,Black98
TX,TX_Middle,B81,4,C,C4,Black99
TX,TX_Middle,B188,4,D,D4,Black100
TX,TX_Middle,B150,4,E,E4,Black101
TX,TX_Middle,B177,4,F,F4,Black102
TX,TX_Middle,B171,4,G,G4,Black103
TX,TX_Middle,B106,4,H,H4,Black104
TX,TX_Middle,B83,5,A,A5,Black10
TX,TX_Middle,B199,5,B,B5,Black11
TX,TX_Middle,B176,5,C,C5,Black12
TX,TX_Middle,B131,5,D,D5,Black183
TX,TX_Middle,B166,5,E,E5,Black14
TX,TX_Middle,B169,5,F,F5,Black15
TX,TX_Middle,B120,5,G,G5,Black16
TX,TX_Middle,B173,6,A,A6,Black169
TX,TX_Middle,B20,6,B,B6,Black170
TX,TX_Middle,B85,6,C,C6,Black171
TX,TX_Middle,B197,6,D,D6,Black172
TX,TX_Middle,B196,7,A,A7,Black25
TX,TX_Middle,B168,7,B,B7,Black26
TX,TX_Middle,B87,7,C,C7,Black27
TX,TX_Middle,B41,7,D,D7,Black28
TX,TX_Middle,B84,7,E,E7,Black29
TX,TX_Middle,B67,7,F,F7,Black30
TX,TX_Middle,B65,7,G,G7,Black31
TX,TX_Middle,B89,7,H,H7,Black32
TX,TX_Middle,B90,8,A,A8,Black121
TX,TX_Middle,B135,8,B,B8,Black122
TX,TX_Middle,B42,8,C,C8,Black123
TX,TX_Middle,B132,8,D,D8,Black124
TX,TX_Middle,B170,8,E,E8,Black125
TX,TX_Middle,B50,8,F,F8,Black126
TX,TX_Middle,B86,8,G,G8,Black127
TX,TX_Middle,B134,8,H,H8,Black128
TX,TX_North,B196,1,A,A1,Black41
TX,TX_North,B168,1,B,B1,Black42
TX,TX_North,B87,1,C,C1,Black43
TX,TX_North,B41,1,D,D1,Black44
TX,TX_North,B84,1,E,E1,Black45
TX,TX_North,B67,1,F,F1,Black46
TX,TX_North,B65,1,G,G1,Black47
TX,TX_North,B89,1,H,H1,Black48
TX,TX_North,B90,2,A,A2,Black137
TX,TX_North,B135,2,B,B2,Black138
TX,TX_North,B42,2,C,C2,Black139
TX,TX_North,B132,2,D,D2,Black140
TX,TX_North,B170,2,E,E2,Black141
TX,TX_North,B50,2,F,F2,Black142
TX,TX_North,B86,2,G,G2,Black143
TX,TX_North,B134,2,H,H2,Black145
TX,TX_North,B173,3,A,A3,Black177
TX,TX_North,B20,3,B,B3,Black178
TX,TX_North,B85,3,C,C3,Black179
TX,TX_North,B197,3,D,D3,Black180
TX,TX_North,B136,4,A,A4,Black65
TX,TX_North,B190,4,B,B4,Black66
TX,TX_North,B139,4,C,C4,Black67
TX,TX_North,B43,4,D,D4,Black68
TX,TX_North,B133,4,E,E4,Black69
TX,TX_North,B68,4,F,F4,Black70
TX,TX_North,B137,4,G,G4,Black71
TX,TX_North,B61,4,H,H4,Black72
TX,TX_North,B138,5,A,A5,Black113
TX,TX_North,Y87,5,B,B5,Black114
TX,TX_North,B81,5,C,C5,Black115
TX,TX_North,B188,5,D,D5,Black116
TX,TX_North,B150,5,E,E5,Black117
TX,TX_North,B177,5,F,F5,Black118
TX,TX_North,B171,5,G,G5,Black119
TX,TX_North,B106,5,H,H5,Black120
TX,TX_North,B165,6,A,A6,Black89
TX,TX_North,B200,6,B,B6,Black90
TX,TX_North,B198,6,C,C6,Black91
TX,TX_North,B63,6,D,D6,Black92
TX,TX_North,B161,6,E,E6,Black93
TX,TX_North,B17,6,F,F6,Black94
TX,TX_North,B162,6,G,G6,Black95
TX,TX_North,B189,6,H,H6,Black96
TX,TX_North,B88,7,A,A7,Black161
TX,TX_North,B163,7,B,B7,Black162
TX,TX_North,B82,7,C,C7,Black163
TX,TX_North,B164,7,D,D7,Black164
TX,TX_North,B140,7,E,E7,Black165
TX,TX_North,B167,7,F,F7,Black166
TX,TX_North,B183,7,G,G7,Black167
TX,TX_North,Y80,7,H,H7,Black168
TX,TX_North,B83,8,A,A8,Black17
TX,TX_North,B199,8,B,B8,Black18
TX,TX_North,B176,8,C,C8,Black19
TX,TX_North,B131,8,D,D8,Black20
TX,TX_North,B166,8,E,E8,Black21
TX,TX_North,B169,8,F,F8,Black22
TX,TX_North,B120,8,G,G8,Black23
TX,TX_North,B70,8,H,H8,Black24
TX,TX_South,B173,1,A,A1,Black173
TX,TX_South,B20,1,B,B1,Black174
TX,TX_South,B85,1,C,C1,Black175
TX,TX_South,B197,1,D,D1,Black176
TX,TX_South,B196,2,A,A2,Black33
TX,TX_South,B168,2,B,B2,Black34
TX,TX_South,B87,2,C,C2,Black35
TX,TX_South,B41,2,D,D2,Black36
TX,TX_South,B84,2,E,E2,Black37
TX,TX_South,B67,2,F,F2,Black38
TX,TX_South,B65,2,G,G2,Black39
TX,TX_South,B89,2,H,H2,Black40
TX,TX_South,B136,3,A,A3,Black57
TX,TX_South,B190,3,B,B3,Black58
TX,TX_South,B139,3,C,C3,Black59
TX,TX_South,B43,3,D,D3,Black60
TX,TX_South,B133,3,E,E3,Black61
TX,TX_South,B68,3,F,F3,Black62
TX,TX_South,B137,3,G,G3,Black63
TX,TX_South,B61,3,H,H3,Black64
TX,TX_South,B138,4,A,A4,Black105
TX,TX_South,Y87,4,B,B4,Black106
TX,TX_South,B81,4,C,C4,Black107
TX,TX_South,B188,4,D,D4,Black108
TX,TX_South,B150,4,E,E4,Black109
TX,TX_South,B177,4,F,F4,Black110
TX,TX_South,B171,4,G,G4,Black111
TX,TX_South,B106,4,H,H4,Black112
TX,TX_South,B90,5,A,A5,Black129
TX,TX_South,B135,5,B,B5,Black130
TX,TX_South,B42,5,C,C5,Black131
TX,TX_South,B132,5,D,D5,Black132
TX,TX_South,B170,5,E,E5,Black133
TX,TX_South,B50,5,F,F5,Black134
TX,TX_South,B86,5,G,G5,Black135
TX,TX_South,B134,5,H,H5,Black136
TX,TX_South,B83,6,A,A6,Black1
TX,TX_South,B199,6,B,B6,Black2
TX,TX_South,B176,6,C,C6,Black3
TX,TX_South,B131,6,D,D6,Black4
TX,TX_South,B166,6,E,E6,Black5
TX,TX_South,B169,6,F,F6,Black6
TX,TX_South,B120,6,G,G6,Black7
TX,TX_South,B70,6,H,H6,Black8
TX,TX_South,B88,7,A,A7,Black153
TX,TX_South,B163,7,B,B7,Black154
TX,TX_South,B82,7,C,C7,Black155
TX,TX_South,B164,7,D,D7,Black156
TX,TX_South,B140,7,E,E7,Black157
TX,TX_South,B167,7,F,F7,Black158
TX,TX_South,B183,7,G,G7,Black159
TX,TX_South,Y80,7,H,H7,Black160
TX,TX_South,B165,8,A,A8,Black81
TX,TX_South,B200,8,B,B8,Black82
TX,TX_South,B198,8,C,C8,Black83
TX,TX_South,B63,8,D,D8,Black84
TX,TX_South,B161,8,E,E8,Black85
TX,TX_South,B17,8,F,F8,Black86
TX,TX_South,B162,8,G,G8,Black87
TX,TX_South,B189,8,H,H8,Black88
