uniqueHammock,RT.hammock,uniquePosition,date_time,CBASSrun,batch,team,site,gps,camera,fieldTag,tag,fieldBag,hammock,depth_ft,notes,time,lat,lon
Run3.17,NA,Run3.P5,2023-06-21T16:44:00Z,3,PM,RC+SM+RK+MS,R1212,4324,cunning,B53,53,53,17,17,NA,2023-06-21T20:44:48Z,24.702630881220106,-82.87229105830193
Run3.37,NA,Run3.P1,2023-06-21T16:49:00Z,3,PM,RC+SM+RK+MS,R1212,4324,cunning,B54,54,54,37,17,NA,2023-06-21T20:49:50Z,24.702646052464846,-82.87232735194266
Run3.27,NA,Run3.B7,2023-06-21T16:56:00Z,3,PM,RC+SM+RK+MS,R1212,4324,cunning,B55,55,77,27,19,NA,2023-06-21T20:56:47Z,24.70264714211226,-82.87243690341711
Run3.36,NA,Run3.O8,2023-06-21T17:06:00Z,3,PM,RC+SM+RK+MS,R1212,4324,cunning,B56,56,56,36,23,NA,2023-06-21T21:06:55Z,24.702460812404755,-82.87307518534362
Run3.1,NA,Run3.F8,2023-06-22T09:15:00Z,3,AM,RK+MS+MG+HW,V1524,8007,blueZip,B58,58,58,1,12,NA,2023-06-22T13:15:49Z,24.6131931245327,-82.87173416465522
Run3.11,NA,Run3.F7,2023-06-22T09:24:00Z,3,AM,RK+MS+MG+HW,V1524,8007,blueZip,B59,59,57,11,11,NA,2023-06-22T13:24:54Z,24.613451287150387,-82.87175889126958
Run3.7,NA,Run3.F2,2023-06-22T09:31:00Z,3,AM,RK+MS+MG+HW,V1524,8007,blueZip,B121,121,21,7,11,NA,2023-06-22T13:31:50Z,24.61361506953836,-82.8716310672462
Run3.21,NA,Run3.F6,2023-06-22T09:35:00Z,3,AM,RK+MS+MG+HW,V1524,8007,blueZip,B122,122,22,21,12,NA,2023-06-22T13:35:52Z,24.61370718665421,-82.87158798426391
Run3.52,NA,Run3.F4,2023-06-22T09:44:00Z,3,AM,RK+MS+MG+HW,V1524,8007,blueZip,B123,123,23,52,11,NA,2023-06-22T13:44:51Z,24.614255279302597,-82.87131012417376
Run3.15,NA,Run3.P3,2023-06-22T10:30:00Z,3,AM,RK+MS+MG+HW,C1300/C1445,8007,0,B124,124,71,15,21,NA,2023-06-22T14:30:53Z,24.618582855910066,-82.92008098214865
Run3.12,NA,Run3.P4,2023-06-22T10:34:00Z,3,AM,RK+MS+MG+HW,C1300/C1445,8007,0,B128,128,24,12,20,NA,2023-06-22T14:34:50Z,24.618551256135106,-82.92025599628687
Run3.18,NA,Run3.O4,2023-06-22T10:40:00Z,3,AM,RK+MS+MG+HW,C1300/C1445,8007,0,B125,125,26,18,15,NA,2023-06-22T14:40:50Z,24.618695676326755,-82.92033989913762
Run3.5,NA,Run3.F3,2023-06-22T10:44:00Z,3,AM,RK+MS+MG+HW,C1300/C1445,8007,0,B130,130,28,5,16,NA,2023-06-22T14:44:56Z,24.618850154802207,-82.92034735903145
Run3.2,NA,Run3.O3,2023-06-22T10:49:00Z,3,AM,RK+MS+MG+HW,C1300/C1445,8007,0,B127,127,30,2,16,NA,2023-06-22T14:49:57Z,24.61898535490036,-82.92031148448588
Run3.9,NA,Run3.F5,2023-06-22T10:56:00Z,3,AM,RK+MS+MG+HW,C1300/C1445,8007,0,B126,126,29,9,12,NA,2023-06-22T14:56:48Z,24.61911376565695,-82.92048540897667
Run3.6,NA,Run3.O6,2023-06-22T08:38:00Z,3,AM,CJ+MGa+MG+BC,V2510,4662,0,B141,141,41,6,24,NA,2023-06-22T12:38:57Z,24.587834933772687,-82.88732886314392
Run3.28,NA,Run3.B6,2023-06-22T08:43:00Z,3,AM,CJ+MGa+MG+BC,V2510,4662,0,B142,142,42,28,21,NA,2023-06-22T12:43:47Z,24.587916322052482,-82.88739767856897
Run3.3,NA,Run3.Y5,2023-06-22T08:47:00Z,3,AM,CJ+MGa+MG+BC,V2510,4662,0,B143,143,43,3,20,NA,2023-06-22T12:47:55Z,24.58790752105415,-82.88753338158132
Run3.23,NA,Run3.B5,2023-06-22T08:50:00Z,3,AM,CJ+MGa+MG+BC,V2510,4662,0,B144,144,44,23,16,NA,2023-06-22T12:50:50Z,24.587882794439793,-82.88764494471252
Run3.8,NA,Run3.B4,2023-06-22T08:53:00Z,3,AM,CJ+MGa+MG+BC,V2510,4662,0,B145,145,45,8,19,NA,2023-06-22T12:53:57Z,24.58792168647051,-82.88768802769482
Run3.20,NA,Run3.O5,2023-06-22T08:56:00Z,3,AM,CJ+MGa+MG+BC,V2510,4662,0,B146,146,46,20,17,NA,2023-06-22T12:56:52Z,24.58784851245582,-82.88773144595325
Run3.30,NA,Run3.Y4,2023-06-22T09:18:00Z,3,AM,CJ+MGa+MG+BC,T2253,4662,0,B147,147,47,30,11,NA,2023-06-22T13:18:47Z,24.591701338067654,-82.89654040709138
Run3.10,NA,Run3.Y3,2023-06-22T09:20:00Z,3,AM,CJ+MGa+MG+BC,T2253,4662,0,B148,148,48,10,11,one diseased tip collected,2023-06-22T13:20:57Z,24.591584159061313,-82.89672036655249
Run3.25,NA,Run3.B2,2023-06-22T09:26:00Z,3,AM,CJ+MGa+MG+BC,T2253,4662,0,B149,149,49,25,12,NA,2023-06-22T13:26:57Z,24.5916710793972,-82.89659941568972
Run3.13,NA,Run3.B3,2023-06-22T09:32:00Z,3,AM,CJ+MGa+MG+BC,T2253,4662,0,B91,91,91,13,11,NA,2023-06-22T13:32:48Z,24.59164073690772,-82.89651157334447
Run3.16,NA,Run3.Y2,2023-06-22T09:38:00Z,3,AM,CJ+MGa+MG+BC,T2253,4662,0,B92,92,92,16,10,NA,2023-06-22T13:38:48Z,24.591570077463984,-82.89647779427469
Run3.14,NA,Run3.B1,2023-06-22T09:42:00Z,3,AM,CJ+MGa+MG+BC,T2253,4662,0,B93,93,93,14,13,NA,2023-06-22T13:42:50Z,24.591689938679338,-82.89637695997955
Run4.49,NA,Run4.O8,2023-06-22T11:29:00Z,4,AM,CJ+MGa+MG+BC,T2253,4662,0,B94,94,94,49,NA,"no depth recorded, presumed 10-13 ft",2023-06-22T15:29:55Z,24.592558890581135,-82.89723325520754
Run4.35,NA,Run4.P1,2023-06-22T11:34:00Z,4,AM,CJ+MGa+MG+BC,T2253,4662,0,B95,95,95,35,NA,"no depth recorded, presumed 10-13 ft",2023-06-22T15:34:47Z,24.591744840145115,-82.89679186418654
Run4.42,NA,Run4.O7,2023-06-22T11:42:00Z,4,AM,CJ+MGa+MG+BC,T2253,4662,0,B96,96,96,42,NA,"no depth recorded, presumed 10-13 ft",2023-06-22T15:42:52Z,24.591635456308722,-82.89655029773712
Run4.55,NA,Run4.O2,2023-06-22T11:44:00Z,4,AM,RK+MS+MG+HW,V1548,8007,redBlack,B111,111,11,55,41,NA,2023-06-22T15:44:56Z,24.60088304243982,-82.94801250100137
Run4.43,NA,Run4.O5,2023-06-22T11:45:00Z,4,AM,RK+MS+MG+HW,V1548,8007,redBlack,B112,112,12,43,41,NA,2023-06-22T15:45:52Z,24.600854124873877,-82.94802649877965
Run4.44,NA,Run4.O1,2023-06-22T11:49:00Z,4,AM,RK+MS+MG+HW,V1548,8007,redBlack,B113,113,13,44,41,NA,2023-06-22T15:49:47Z,24.60075991228223,-82.94812976382673
Run4.61,NA,Run4.O3,2023-06-22T11:52:00Z,4,AM,RK+MS+MG+HW,V1548,8007,redBlack,B114,114,14,61,41,NA,2023-06-22T15:52:56Z,24.60070123896003,-82.94824333861472
Run4.60,NA,Run4.O4,2023-06-22T11:57:00Z,4,AM,RK+MS+MG+HW,V1548,8007,redBlack,B115,115,15,60,41,NA,2023-06-22T15:57:51Z,24.600793607532978,-82.9482507146895
Run4.41,NA,Run4.O6,2023-06-22T12:09:00Z,4,AM,RK+MS+MG+HW,V1548,8007,redBlack,B116,116,16,41,43,NA,2023-06-22T16:09:54Z,24.600681541487578,-82.94816228561105
Run4.12,NA,Run4.P7,2023-06-22T16:15:00Z,4,PM,MGa+MI+HW+SM,R2223,4662,0,B151,151,40,12,24,NA,2023-06-22T20:15:59Z,24.62862990796566,-82.94597284868361
Run4.8,NA,Run4.P4,2023-06-22T16:19:00Z,4,PM,MGa+MI+HW+SM,R2223,4662,0,B152,152,35,8,25,NA,2023-06-22T20:19:50Z,24.62852898985148,-82.94575491920114
Run4.9,NA,Run4.P2,2023-06-22T16:24:00Z,4,PM,MGa+MI+HW+SM,R2223,4662,0,B153,153,4,9,26,NA,2023-06-22T20:24:49Z,24.62868958711624,-82.94540899805726
Run4.26,NA,Run4.P6,2023-06-22T16:32:00Z,4,PM,MGa+MI+HW+SM,R2223,4662,0,B154,154,2,26,27,NA,2023-06-22T20:32:48Z,24.6292011346668,-82.94575793668628
Run4.20,NA,Run4.Y4,2023-06-22T16:35:00Z,4,PM,MGa+MI+HW+SM,R2223,4662,0,B155,155,5,20,27,NA,2023-06-22T20:35:45Z,24.629239356145266,-82.94582306407392
Run4.23,NA,Run4.P3,2023-06-22T16:37:00Z,4,PM,MGa+MI+HW+SM,R2223,4662,0,B156,156,3,23,26,NA,2023-06-22T20:37:50Z,24.62926307693124,-82.94583773240447
Run4.4,NA,Run4.Y3,2023-06-22T16:15:00Z,4,PM,RK+MS+MG+AW,J2859,8007,blueBand,B180,180,72,4,21,NA,2023-06-22T20:15:50Z,24.632284585386518,-82.90516471490264
Run4.3,NA,Run4.P8,2023-06-22T16:20:00Z,4,PM,RK+MS+MG+AW,J2859,8007,blueBand,B179,179,75,3,12,NA,2023-06-22T20:20:48Z,24.63235574774444,-82.90514736436307
Run4.30,NA,Run4.P5,2023-06-22T16:24:00Z,4,PM,RK+MS+MG+AW,J2859,8007,blueBand,B174,174,76,30,10,NA,2023-06-22T20:24:58Z,24.632487092167143,-82.90506740100682
Run4.1,NA,Run4.Y5,2023-06-22T16:47:00Z,4,PM,RK+MS+MG+AW,C1449,8007,blueBand,B172,172,74,1,12,NA,2023-06-22T20:47:55Z,24.649902004748586,-82.8937052283436
Run4.33,NA,Run4.Y1,2023-06-22T16:53:00Z,4,PM,RK+MS+MG+AW,C1449,8007,blueBand,B175,175,80,33,13,NA,2023-06-22T20:53:50Z,24.650023709982634,-82.89400211535394
Run4.45,NA,Run4.Y2,2023-06-22T17:02:00Z,4,PM,RK+MS+MG+AW,C1449,8007,blueBand,B178,178,25,45,11,NA,2023-06-22T21:02:48Z,24.64958156459034,-82.89362979121506
Run5.36,NA,Run5.Y3,2023-06-23T08:53:00Z,5,AM,SM+MGa+MI,R1215,4662,blackCamera,B158,158,36,36,7,one geno left for CBASS run 5,2023-06-23T12:53:42Z,24.6320524904877,-82.87572411820294
Run4.14,NA,Run4.Y7,2023-06-23T09:09:00Z,4,AM,SM+MGa+MI,R1215,4662,blackCamera,B159,159,34,14,8,NA,2023-06-23T13:09:48Z,24.632815327495337,-82.87499573081732
Run4.2,NA,Run4.Y6,2023-06-23T09:28:00Z,4,AM,SM+MGa+MI,C1447,4662,blackCamera,B160,160,1,2,8,NA,2023-06-23T13:28:52Z,24.633448999375105,-82.87350928410889
Run4.38,NA,Run4.Y8,2023-06-23T09:36:00Z,4,AM,SM+MGa+MI,C1447,4662,blackCamera,B107,107,54,38,7,NA,2023-06-23T13:36:48Z,24.63384638540447,-82.87359603680672
Run5.27,NA,Run5.P1,2023-06-23T15:55:00Z,5,PM,RC+CJ+AW+HW,S1254,4662,orangeZip,B191,191,21,27,22,sort of small but big for the area,2023-06-23T19:55:49Z,24.67408161610365,-82.88670281879604
Run5.28,NA,Run5.P4,2023-06-23T16:06:00Z,5,PM,RC+CJ+AW+HW,S1254,4662,orangeZip,B195,195,22,28,15,NA,2023-06-23T20:06:51Z,24.67414322309196,-82.88654364645483
Run5.34,NA,Run5.P5,2023-06-23T16:14:00Z,5,PM,RC+CJ+AW+HW,S1254,4662,orangeZip,B192,192,26,34,17,"nubby branches, off from the main bit",2023-06-23T20:14:46Z,24.67410902492702,-82.88630040362477
Run5.37,NA,Run5.P2,2023-06-23T16:40:00Z,5,PM,RC+CJ+AW+HW,O1298,4662,orangeZip,B193,193,30,37,14,NA,2023-06-23T20:40:55Z,24.669389929622415,-82.87554868496954
Run5.55,NA,Run5.P3,2023-06-23T16:45:00Z,5,PM,RC+CJ+AW+HW,O1298,4662,orangeZip,B194,194,23,55,14,NA,2023-06-23T20:45:59Z,24.66932756826282,-82.87558598443866
Run5.16,NA,Run5.O7,2023-06-23T14:06:00Z,5,PM,SM+RK+MG+MS,J2858,8007,blueZip,B18,18,63,16,11,NA,2023-06-23T18:06:58Z,24.663147758692507,-82.91203879751265
Run5.10,NA,Run5.O8,2023-06-23T14:12:00Z,5,PM,SM+RK+MG+MS,J2858,8007,blueZip,B97,97,97,10,13,NA,2023-06-23T18:12:54Z,24.663275750353932,-82.91205053217709
Run5.21,NA,Run5.Y5,2023-06-23T14:16:00Z,5,PM,SM+RK+MG+MS,J2858,8007,blueZip,B100,100,100,21,10,NA,2023-06-23T18:16:51Z,24.663171647116545,-82.91209973394871
Run5.24,NA,Run5.O3,2023-06-23T14:38:00Z,5,PM,SM+RK+MG+MS,J2856,8007,blueZip,B99,99,59,24,12,NA,2023-06-23T18:38:57Z,24.66955941170454,-82.90897814556958
Run5.46,NA,Run5.O6,2023-06-23T14:44:00Z,5,PM,SM+RK+MG+MS,J2856,8007,blueZip,B98,98,99,46,14,NA,2023-06-23T18:44:51Z,24.66976443305612,-82.90899231098592
Run5.47,NA,Run5.O1,2023-06-23T14:49:00Z,5,PM,SM+RK+MG+MS,J2856,8007,blueZip,B19,19,69,47,13,NA,2023-06-23T18:49:51Z,24.67001119628549,-82.90929766371848
